Annex 18,,,,,,,,,,,,,,,,,,,
Monetary Statistics (A),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(Rs. In Million),,,,,,,
"Fiscal
 Year",Mid-Month,"Broad Money
 (M2)",% Change (Y on Y),"Money Supply
(M1+)",% Change (Y on Y),Currency with Public,% Change (Y on Y),Saving and Call Deposit,% Change (Y on Y),Time Deposit,% Change (Y on Y),"Total 
Deposits","% Change 
(Y on Y)",,,,,,
,November,5603245.738286052,6.516541515900784,2602451.024958033,-6.043490821314119,525140.3294202676,-9.488198512628747,1707862.814756792,-8.26418791177864,3000794.7117052795,20.484805677172663,5129510.055155854,8.557674934764444,,,,,,
,December,5652896.055612699,7.677359458084743,2499974.68171746,-6.183429628514222,511980.77698171255,-8.137111059513689,1598575.1752824625,-9.889171486051037,3152921.373165515,21.965206895057015,5193924.080119256,9.549544003301087,,,,,,
,January,5739092.004687734,7.741496045210967,2519060.1902671447,-6.032045526134606,495238.6078209855,-6.998398657266969,1616331.5201903807,-7.127244619593603,3220031.8156112134,21.696222505669816,5297904.360367299,9.420248695178886,,,,,,
,February,5797782.10935224,8.81528810202074,2574431.7363260128,-3.6793217562694727,516000.2147553795,-5.547046390699304,1649599.4909639447,-4.6467742863406984,3223350.3732991656,21.391999435378477,5336735.025834703,10.489854469782138,,,,,,
,March,5827309.023243735,9.057908194998777,2600653.371011739,-0.872503404454714,519330.3189284126,-3.176380607144709,1662976.5003682952,-1.2271112726975497,3226655.653993507,18.63697104986025,5363340.806085432,10.473968871500581,,,,,,
,April,5901555.815447796,9.864763246331563,2616347.805124292,0.42699282842127273,519145.6534141431,-1.3385981340191004,1670966.8655669715,0.7252688871372915,3285208.0181957684,18.752569379913428,5438657.557968225,11.016616867543066,,,,,,
,May,5925384.720381938,10.079349095288293,2639992.3939855536,1.6977448285177714,529732.110978004,-2.6996846701477675,1696965.7804466835,3.3698887535153745,3285392.326920567,17.886553276336,5453545.024141486,11.432085670558905,,,,,,
,June,5985838.752481428,11.116406329464798,2666462.574947091,4.603725154530518,518755.82504693774,1.0433335009720328,1716341.0528840565,6.679649705074104,3319376.172371132,16.96636335676228,5527895.028400538,12.156574699426855,,,,,,
,July,6179055.313091658,11.447328844082426,2803365.4355574823,4.826433812292352,528695.7455993176,4.505382318248556,1838203.0009359552,6.8450255599238545,3375689.8776616966,17.616567533600673,5710015.92490781,12.340647104847235,,,,,,
2023/24,August,6040561.076054339,11.051280024609518,2602588.8755054628,5.097160226695306,522564.77812201215,3.725091317933757,1810166.3296858664,11.918516964693751,3437972.196953713,16.027395839209348,5576778.749989497,11.93850201407265,,,,,,
,September,6156103.266362311,12.218204983500772,2652552.2546705105,6.615932392408218,516247.7762582595,4.10594783777151,1787307.6442774907,11.021833319939393,3503551.011691801,16.86754759204576,5702456.305658539,13.163971516577606,,,,,,
,October,6366679.111107211,13.925168979658785,2818001.292615263,10.626721254389219,561374.7615349679,5.478690630333186,1867627.305023944,14.134650667727819,3548677.8041411075,16.687973682917175,5868514.297991383,14.94595009922488,,,,,,
,November,6406588.940911144,14.337104602355396,2859921.992883059,9.89340300569837,605975.0404304992,15.392973359991164,1903042.6550667651,11.428309031821602,3546666.9480174356,18.190922364094344,5864628.576821772,14.331164453552923,,,,,,
,December,6476262.602026527,14.565393354373038,2834182.4350058204,13.368445517966709,565730.1537782433,10.498319314525878,1895016.504373338,18.544096872922815,3642080.1670838334,15.514462177253915,5973734.90627944,15.013904980726617,,,,,,
,January,6578030.546702166,14.61796641923811,2913521.189789409,15.659054160211703,551089.3008459804,11.277532111386465,1955175.815099509,20.96378686404737,3664509.3551994283,13.80351391043153,6087082.373073069,14.896041132970876,,,,,,
,February,6612223.344116,14.047461932900301,2947321.562319745,14.484354769720381,565517.2428748962,9.596319285059066,2005047.612143828,21.547540668321677,3664901.776733988,13.698523346777389,6107218.016854013,14.43734769085339,,,,,,
,March,6653783.337557061,14.182778208890564,3027746.5983807514,16.422535664676417,571231.322925657,9.993832846951253,2062187.3618158617,24.00580292981616,3626036.7509298907,12.37755557963197,6145883.31377159,14.590579565599448,,,,,,
,April,6636244.496064595,12.449067730473583,3016527.58013615,15.29535844691899,582136.4261386017,12.13354524114804,2123000.579451559,27.05222486450737,3619716.9168050652,10.182274509149918,6119059.62139107,12.51047811285676,,,,,,
,May,6673444.556025192,12.624662717175195,3027240.6837203624,14.6685380843157,585971.7617112466,10.616621036888159,2144775.60878899,26.388854360070347,3646203.8678284325,10.982296937609819,6153097.661689927,12.827484406045897,,,,,,
,June,6739640.7340789065,12.593088667565427,3075284.9376639877,15.332012028145902,576713.9232693117,11.172519984162067,2187512.006433914,27.452058712813788,3664355.8020179467,10.392905525991814,6224587.919567279,12.603222159381794,,,,,,
,July,6974063.854698937,12.866182633498727,3311483.461570868,18.125286827342947,581729.0778972514,10.03097390878687,2362676.1891383315,28.531842671094047,3662580.3852352733,8.498722275172462,6452386.435051818,13.001198593960037,,,,,,
2024/25,August,6925015.427011808,14.641923818361418,3220983.4345811657,23.76074703522281,578283.9350512638,10.66263155536325,2331711.731442071,28.812015404502244,3704031.994857095,7.738858334547618,6408933.277829888,14.921777699033855,,,,,,
,September,7002208.586960683,13.744170362144386,3304774.095833649,24.588463432331316,572704.3032919337,10.93593612022285,2408524.3371604695,34.75712168926029,3697434.4911270337,5.533913414938695,6487418.011104722,13.765326087062983,,,,,,
,October,7212940.400814059,13.292036161057247,3560950.1285333363,26.364389465150868,647974.0516897937,15.426288477600453,2563431.5528411567,37.25605456428536,3651990.268265529,2.9112945673417223,6622383.616568801,12.845999520448387,,,,,,
,November,7184848.699658342,12.147802300493993,3567390.2128562015,24.737325763908355,642603.2600179237,6.04450961567705,2588997.7494800743,36.04517705302005,3617458.479954532,1.9960016819923925,6602228.985398773,12.577103543984872,,,,,,
,December,7203001.676031653,11.221581314162858,3664189.338051956,29.285584893706083,633520.2929560307,11.982769298233295,2691919.618959254,42.05256855266511,3538812.3379796967,-2.8354079088495707,6624706.032243182,10.897221523497091,,,,,,
,January,7247318.669287752,10.174597363661189,3707665.531147098,27.25720149696562,618180.6374154307,12.17431303174604,2730895.813993106,39.67520429123745,3539653.138140654,-3.4071741932278194,6691442.021876688,9.928560380209003,,,,,,
,February,7278708.286754203,10.079589087553819,3748081.5986116035,27.169076035992674,640426.6579880107,13.246177027653601,2766461.9870240684,37.974877517553026,3530626.6881425995,-3.663811386264462,6697730.016696338,9.669083340609353,,,,,,
,March,7311201.332364132,9.880363718732722,3808554.739668289,25.788424358402928,646052.8136975106,13.098282214049956,2811405.0366097065,36.33121260786509,3502646.5926958425,-3.4028932057129593,6729616.157166938,9.497948685217146,,,,,,
,April,7404295.4182476625,11.573577836659494,3899038.61576208,29.255858339809976,647296.4339389066,11.193253827547096,2874066.401062256,35.377560839136564,3505256.8024855824,-3.1621288888113046,6820859.395885655,11.46907887678077,,,,,,
,May,7436923.740555566,11.440556344190469,3927584.260601002,29.74139392756019,653983.6636213767,11.606685911196667,2908038.1559588476,35.587058340374384,3509339.479954564,-3.7536131504182926,6852199.203820435,11.361781992884907,,,,,,
,June,7545456.447192829,11.956360062923324,4015258.4316162234,30.565411433590523,645452.2637314468,11.918966698855991,2988043.1170234284,36.595507052532334,3530198.0155766057,-3.6611561128278227,6969988.185867902,11.975094189888832,,,,,,
,July,7845605.526333061,12.496898362163723,4313321.181765793,30.25344175264833,655249.8402916868,12.638316561411628,3156135.1223560004,33.58305877315518,3532284.3452654877,-3.5574929766740335,7263874.904280913,12.576563375385897,,,,,,
2025/26,August,7787604.60013374,12.456133595851714,4276737.23938602,32.77737455803269,655996.3232070268,13.438448389349425,3233435.074891049,38.67216222698755,3510867.3607477187,-5.214982872112824,7208084.995407353,12.469340574069191,,,,,,
,September,7872291.096272428,12.42582962941133,4357868.530230178,31.865852365647985,651873.4052317567,13.82373093492662,3298206.3668231447,36.93888477421682,3514422.5660422505,-4.949700272552994,7296737.809465713,12.475221990869906,,,,,,
,October,8093911.598073107,12.213759553033611,4602801.610040702,29.257682469607555,690052.0645259067,6.493780534325641,3447126.0944733396,34.473108542833835,3491109.9880324053,-4.405276805667175,7482591.517200242,12.989400047427832,,,,,,
,November,8080516.0779802,12.466057613216677,4643143.135748187,30.155179520736898,677972.5452704667,5.5040625302082224,3539281.108716898,36.70468077570407,3437372.942232013,-4.978233716307427,7486250.84084984,13.389748483521771,,,,,,
