,Annex 10,,,,,
,Foreign Exchange Reserves (Monthly Series),,,,,
,Fiscal Year,Mid-Month,Gross Foreign Exchange Reserves (Rs. In Billion),Gross Foreign Exchange Reserves (USD In Million),Import Capacity in Months,
,,,,,Merchandise,Merchandise & Services
,,March,1872.8157000864271,14140.861522851308,14.812509769950102,12.350802271373594
,,April,1911.8591007553555,14364.080396358791,14.980961931658674,12.4635156222962
,,May,1942.3968567662591,14537.810469023718,15.122474691569513,12.617307881223974
,,June,1967.1908718921536,14715.670795123828,15.098478694078842,12.600702802922035
,,July,2041.1027356271454,15270.856917755089,15.599653046224983,13.037015773118686
,2024/25,August,2092.2185837133784,15576.374208705914,16.772958807996144,13.545347421108584
,,September,2152.5283860250947,16036.119988267114,16.852983182480337,13.761819236400688
,,October,2232.2754508760413,16600.546225002166,17.611844782834908,14.636819071217534
,,November,2255.3479795938624,16701.33278727682,18.052597391244618,15.1464151404183
,,December,2273.264715503786,16755.839282846508,17.601830427614324,14.592084290332187
,,January,2316.8429153995785,16843.641696834446,17.323880943505838,14.655112858675578
,,February,2369.0779051409377,17052.313432238807,17.195200441877354,14.609559470160375
,,March,2409.2547336914777,17265.692516063333,17.226580365534762,14.470896963778333
,,April,2426.836433258243,17627.92498916425,17.062195236670497,14.322343544784594
,,May,2512.9469953175494,18404.474844862674,17.43254229581365,14.686911798549785
,,June,2569.383820149436,18653.868303684012,17.582910693229557,14.83379827982585
,,July,2677.6837041829217,19502.430474748155,18.24382503630642,15.367878014409722
,2025/26,August,2806.03674658084,20030.243033627226,20.419109242149453,16.597865133945334
,,September,2881.354236094561,20414.866346142568,19.661721214220158,15.972640294599593
,,October,2979.8075777309673,21205.57627192547,19.862499021273244,16.390256919790513
,,November,3055.5159628759257,21517.718048422008,20.826901363750306,17.385247793647224
,,December,3201.4745144049753,22129.498267816238,21.656632181905024,18.225807193840343
,,January,3242.4475884607286,22468.627180796397,21.443951152802036,18.08960296985329
,,February,3302.6598267940462,22756.561887921496,21.261478579189944,18.021197657532376
,,March,3413.76775700744,23075.35323108987,21.43719482359989,18.453614368085265
,,April,3494.728473523173,23554.144864347058,21.75409742785667,18.37180993645914
,,May,3704.5504768745504,24190.613013416158,22.551647927852855,19.160871250181245
,Period end buying exchage rate is used for conversion to USD.,,,,,
