Annex 19,,,,,,,,,,,,,,,,,,
Monetary Statistics (B),,,,,,,,,,,,,,,,,,
(Rs. In Million),,,,,,,,,,,,,,,,,,
"Fiscal 
Year",Mid-Month,"Net Foreign
 Assets",% Change (Y on Y),"Net Domestic
 Assets","% Change 
(Y on Y)","Domestic
 Credit",% Change (Y on Y),Claims on Government,% Change (Y on Y),General Government Deposits,% Change (Y on Y),"Claims on
 Private Sector",% Change (Y on Y),,,,,
,September,1380184.896466053,35.66343713062734,2890321.174387853,12.95894250593237,3878489.8398389127,13.603123580531376,602131.80000588,36.520673058191726,207989.00001348008,18.26272023912951,3327990.8346443996,10.335611284671547,,,,,
,October,1410665.3336564964,38.19570176915038,3057321.3276011,14.253198047561163,4017268.5183259025,14.915461275364125,634333.70000588,43.82017621476662,213387.39995429997,75.95535986987618,3413866.1559826965,12.36664606622567,,,,,
,November,1440625.7669668926,38.4854595089085,3062181.984509711,15.379544826634978,4071310.1629398577,16.353415916102033,658358.7004158801,49.555496809097654,220977.00006180033,47.02453693816387,3453053.310515815,12.304550988651416,,,,,
,December,1427032.7386469967,39.052037139418175,3118629.978796628,16.143770114882013,4136213.031980967,16.956340666389888,658388.70041588,49.53500066426927,245702.89982897975,50.42687335089177,3534924.2550380733,13.149593512977562,,,,,
,January,1444621.8098065816,39.9901563128382,3192602.067995942,16.577252948423947,4235634.988531829,20.707071065422102,652585.8000058801,48.43554804047534,264742.7725147701,9.497428351468999,3637843.11104505,15.020908305435743,,,,,
,February,1412384.6756613147,37.339922928482224,3254422.122067385,18.126668314278543,4316922.241043445,21.694741200203268,686089.6000058801,56.055895287136956,307533.97285741946,27.442362580385577,3735772.6285939305,17.229555901847768,,,,,
,March,1383140.8616863994,29.47987991070914,3329543.8245687312,19.980888265549055,4404969.464841569,22.027187951838663,703691.89999727,65.00028606027396,354546.3152469301,65.7178196898297,3849981.1782114855,18.88650411632554,,,,,
,April,1380879.233758819,27.312264088000365,3452291.599814265,22.579078318557265,4560796.110431589,21.518570289498435,687173.9453872698,46.166202586694325,345145.53052237077,112.64941618793746,3992208.379229303,21.700196723626288,,,,,
,May,1330478.2815633407,14.508453084669712,3552333.903900898,27.0377509540629,4653000.8540301295,22.72975035133926,681162.70000267,23.829324323412358,300918.23968005,47.26854698821204,4047916.4553666734,22.946339896616628,,,,,
,June,1305165.966231425,6.32672808925815,3605271.277966137,28.00179754764015,4749996.776047101,22.834693458943644,714462.5273826701,22.088147887258657,290600.1660815697,76.65148129191368,4104076.611742709,24.56369879795556,,,,,
,July,1371695.6921985087,3.263197438053854,3819233.076930601,31.57878392257555,4955476.515742663,27.14083231155221,787627.5173826701,30.78818672814951,198761.30255906042,41.15366632811234,4139555.3970571724,26.325658755480834,,,,,
2021/22,August,1330600.440633508,-3.142274749230721,3780013.079783596,31.67250748556966,4937403.640216375,28.616538189564277,787717.5173826701,30.788884565972985,282317.80021238024,43.63180874360463,4204350.67472927,28.334937242081796,,,,,
,September,1267020.867291031,-8.199193417112252,3933962.897042794,36.10815752598761,5106012.125266866,31.649490810034877,766480.11738267,27.294409193333617,297616.20004165027,43.09227892934786,4409192.132556651,32.48810924167642,,,,,
,October,1287065.6791954818,-8.76179852953781,4014602.3217089586,31.311101828442116,5210095.985531774,29.692500308716063,758731.6172626701,19.610800633111086,242832.10015472,13.798706112322497,4462617.187838566,30.720332430665593,,,,,
,November,1207655.8466573383,-16.171439221169244,4052790.707974366,32.34976655455904,5241404.780614406,28.740001887491495,758793.9672626702,15.255402075395361,279720.30100410996,26.583445754934214,4528429.62318221,31.14276600918612,,,,,
,December,1166876.1088126646,-18.230599956732082,4082970.362221189,30.921923728722277,5309866.450609265,28.37507182424298,764866.6382612201,16.1725038382466,295253.69654062,20.166956412044726,4600908.475687987,30.155786764897247,,,,,
,January,1119310.5378443757,-22.518784484207764,4207413.347889929,31.78633786111037,5359839.912532206,26.54159121463988,765008.2172662201,17.227223954202973,281882.19999999995,6.4739925938010785,4636400.494826405,27.44916021115869,,,,,
,February,1122088.803165316,-20.553598286534413,4206006.366620457,29.239730092191422,5422358.930130147,25.607055845868267,811526.9472662201,18.282939613027942,303004.49999999994,-1.4728365830072037,4673943.600655351,25.11317109827771,,,,,
,March,1129090.5414988156,-18.367638989266215,4214225.793548005,26.570666000885705,5482527.796460124,24.46233373963492,848898.31000622,20.634941230602966,328157.30387327005,-7.443036421145983,4715332.753984851,22.47677418972125,,,,,
,April,1116776.1804258162,-19.125716925592524,4254878.607757466,23.247949506535903,5483643.557578408,20.234349986311702,864208.90000622,25.762757131191687,331667.9,-3.9049123718834267,4705734.753052601,17.872974204844592,,,,,
,May,1094941.9224750323,-17.703134455644634,4287888.525816164,20.706235444464742,5531686.676793637,18.884282430389977,883296.6999976703,29.67484860727222,325146.19650376,8.051342068686255,4730155.217812823,16.854072211437238,,,,,
,June,1120179.9059322057,-14.173374504497199,4266818.243317839,18.349436542952855,5571777.594634512,17.30066055479071,924441.7372566701,29.389814276646316,351912.60425698,21.098555793048064,4759350.334632873,15.966410593195912,,,,,
,July,1151335.5320309985,-16.06479931524201,4393037.201869434,15.02406670084616,5674954.279199191,14.518841148189802,971587.7522609002,23.356247822516433,224417.08999999997,12.907838251520875,4688998.946028264,13.273008723634755,,,,,
2022/23,August,1133913.2978878408,-14.781833579735103,4305520.695773214,13.902269777852277,5621597.3482798925,13.85735819714213,958241.1772516703,21.647818679416325,292350.47,3.5536794988032687,4714235.208074143,12.12754531655964,,,,,
,September,1120660.957825291,-11.551499524918365,4365171.9934925735,10.961188697888439,5706694.687879417,11.764221233241914,957898.4374216703,24.97368368701382,264482.57,-11.133006213039927,4770328.788990666,8.190540252656485,,,,,
