,Annex 7,,,,,,,,
,Balance of Payments Indicators (Monthly Series),,,,,,,,
,(Rs. in million),,,,,,,,
,Fiscal Year,Mid-Month (Cumulative),"Current A/C 
Balance",Balance on Goods,"Services
Net",Workers' Remittances,,Net Direct Investment in Nepal,"BOP
(-Deficit)"
,,,,,,Amount,% Change*,,
,,February,184143.60731159314,-815776.363165424,-36165.38092106481,901808.9562595761,7.482235498830221,4683.006720880001,284409.8563355433
,,March,197026.9932868122,-937820.1231486603,-61069.55713675234,1052999.5763645608,9.54450123512251,5492.79166853,310372.4013298203
,,April,222668.72274319292,-1067903.0172865319,-67454.9464355898,1192537.3515577663,10.150247555282292,5963.4615895900015,346228.9035296212
,,May,272531.0352784083,-1198357.0711307204,-72178.52939305795,1357836.9856303409,13.282061252728553,5899.20632321,438520.9639080437
,,June,321742.3161538006,-1332719.6179929287,-82783.39564056523,1534156.7330415726,15.56398292247701,6359.806520039116,491439.05646172864
,,July,409197.7060588002,-1452626.1238090936,-90940.50620390843,1723270.0629754942,19.231444713488273,7305.460911679116,594539.421095588
,2025/26P,August,78138.77789610138,-109590.17589867976,-13394.86480847076,177411.5775494181,29.873964253782674,611.40694302,89301.2405689455
,,September,130692.33207687963,-231561.81619527884,-31158.27348050174,352084.65470686037,33.06412039754562,1131.1981375999999,153682.5391872417
,,October,237594.64212649385,-349364.8584556752,-32683.66742544981,553308.235027948,35.35999449971857,1181.28687808,264025.54898987815
,,November,279652.4913048715,-454985.8210359361,-32910.008125229666,687128.67556785,31.363803816246502,1932.53663959,318395.0494000049
,,December,358834.9297388515,-580989.6747569554,-36535.909970305576,870310.288038806,35.59055324479215,6787.875068399999,421892.13960067416
,,January,429910.34652730194,-719158.8975014507,-41546.33517935217,1062929.4579523283,39.0708309701784,2481.0158778699997,501235.63265602884
,,February,493784.81041110633,-868870.2127123084,-50164.01588949093,1261013.549451773,39.83156196208853,4504.698980389998,572725.4361613364
,,March,552847.6823448471,-1053307.1134750422,-37688.27523990981,1449652.618016057,37.6688700123627,5112.99569144,658349.359708845
,,April,618682.9703826827,-1191979.9937371055,-67541.66871278227,1659406.0466241406,39.14918844734896,8788.107475649998,731160.0592734808
,,May,729284.302574889,-1360344.7471525948,-68221.86329957785,1916900.9904761405,41.17313129353806,11125.7,863560.3412943564
,* % Change Y on Y,,,,,,,,
