Annex 4,,,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,"Agriculture, forestry & fishing",% Growth,Manufacturing,% Growth,Construction,% Growth,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,% Growth,Transportation and Storage,% Growth,Accommodation and Food Service Activities,% Growth,Information and communication,% Growth,Financial and insurance activities,% Growth,Public Administartion and Defence,% Growth,Education,% Growth,Human Health and Social Work Activities,% Growth,Overall Index,% Growth
2011 January,2067 Poush,29.65745949597894,22.84593616423978,25.289609542128535,4.5896215760175,30.220570439721172,15.27696289742923,-,-,-,-,-,-,30.549547173248857,0,17.663736320406997,0,28.44263232569796,0,30.498979454436782,0,-,-,28.274522750412125,12.441833795793988
2011 April,2067 Chaitra,35.72195406637544,43.69761088427519,27.096176783366182,11.70003720201407,34.675309536185736,28.00435277978578,-,-,-,-,-,-,30.646950191514282,0,17.688448621679914,0,28.44263232569796,0,30.60010349662545,0,-,-,31.908329180639527,24.74890216874915
2011 July,2068 Asadh,35.83392276510014,30.154869156690197,27.146273738193173,11.298154845775734,36.23516782831961,25.92550654859924,-,-,-,-,-,-,30.663541200305684,0,17.692064924661068,0,28.44263232569796,0,30.861920828072034,0,-,-,32.110983634416584,19.11091745550881
2011 October,2068 Asojh,40.14947300801301,36.562243941318684,30.561522322619762,21.121629342326507,41.33701457160349,37.334125194217634,-,-,-,-,-,-,30.53291180971326,0,24.98650574081305,42.42677603568925,35.168536369100664,23.64726290585221,35.868450462449566,19.055777554030705,-,-,36.49854914134222,29.870976029037582
2012 January,2068 Poush,40.50089218369655,36.562243941318705,32.745424312414315,29.48173145127274,41.423030460530086,37.06898929374502,-,-,-,-,-,-,30.549547173248857,0,25.157890168600773,42.42677603568926,35.168536369100664,23.64726290585221,36.31079713552378,19.05577755403069,-,-,37.33940583651286,32.06025143596317
2012 April,2068 Chaitra,41.937480226627784,17.399737283977224,34.74709317505384,28.23614730910823,42.66691658030688,23.046966706328696,-,-,-,-,-,-,30.646950191514282,0,25.193087102588013,42.42677603568925,35.168536369100664,23.64726290585221,36.43119115024556,19.05577755403068,-,-,38.69900654021523,21.281833094839598
2012 July,2069 Asadh,44.24074619342371,23.460516682564425,35.18575078945661,29.615398152978834,45.23346479590698,24.833048960117548,-,-,-,-,-,-,30.663541200305684,0,25.19823768633575,42.42677603568924,35.168536369100664,23.64726290585221,36.7428998099705,19.055777554030676,-,-,40.0880377962024,24.84213580189428
2012 October,2069 Asojh,45.097784165875076,12.324722560802936,38.12209648503719,24.738866351633128,44.6287904044,7.963264563033537,-,-,-,-,-,-,30.53291180971326,0,24.98650574081305,0,35.168536369100664,0,35.868450462449566,0,-,-,41.22696335406523,12.955074445321157
2013 January,2069 Poush,46.389885533276875,14.540404006089801,38.07068402018623,16.262607126312368,45.077409220170054,8.82209418048745,-,-,-,-,-,-,30.549547173248857,0,25.157890168600773,0,35.168536369100664,0,36.31079713552378,0,-,-,41.86614204409679,12.123214352697058
2013 April,2069 Chaitra,47.05788818783733,12.209622355799985,38.146723702059155,9.783927852261403,45.57839712062961,6.823742547326553,-,-,-,-,-,-,30.646950191514282,0,25.193087102588013,0,35.168536369100664,0,36.43119115024556,0,-,-,42.24874597368085,9.172688786666397
2013 July,2070 Asadh,48.731598099444845,10.15094068799565,39.079990459334624,11.067661148344511,46.10392217260581,1.9243659105627369,-,-,-,-,-,-,30.663541200305684,0,25.19823768633575,0,44.27082181774713,25.881900097053222,41.291322942247305,12.37905324784014,-,-,43.35714395760177,8.154817100349716
2013 October,2070 Asojh,48.78767299814525,8.181973683448206,41.548479810819714,8.98791945277031,45.93637509041588,2.929912897408402,-,-,-,-,-,-,46.22233128280861,51.38527098520675,36.89614557933249,47.66428712385418,46.73992637574059,32.90267722601794,46.81983127470295,30.532071140676425,-,-,45.98425816762055,11.539280185879196
2014 January,2070 Poush,51.59647494378122,11.223544422780474,46.393908204020285,21.862554871409277,47.97982215733091,6.438730591158638,-,-,-,-,-,-,46.24751477297635,51.38527098520675,37.14921917286652,47.664287123854166,46.73992637574059,32.90267722601794,47.3972355486886,30.532071140676436,-,-,48.89547605295417,16.79002092300151
2014 April,2070 Chaitra,51.8379390576918,10.157809995158114,46.486572103066734,21.862554871409298,49.94487225050812,9.58014192188905,-,-,-,-,-,-,46.39496859612523,51.385270985206745,37.201192474528234,47.66428712385416,46.74003495444559,32.90298596421468,47.55438834963436,30.532071140676454,-,-,49.205965563689915,16.467280695959865
2014 July,2071 Asadh,51.238960017166875,5.145248700043338,46.57251912508862,19.172288881570935,50.75518391122639,10.088646517333137,-,-,-,-,-,-,46.420084939743276,51.385270985206745,37.208798047302054,47.66428712385418,46.74003495444559,5.5775181831131375,47.961268119098165,16.1533821189984,-,-,49.03490574060425,13.095331621830693
2014 October,2071 Asojh,51.50124505094385,5.5620034448082105,47.757868888138546,14.944924833812653,53.33628701741564,16.109046289426683,-,-,-,-,-,-,49.01152637017196,6.03430205693828,38.47585874342617,4.281512714375684,50.913658660300605,8.92969375049403,51.06091378788868,9.058303709601821,-,-,50.302024333135115,9.389661457135093
2015 January,2071 Poush,55.69355629202961,7.940622596238438,47.76435516549105,2.953937304536041,54.69411610425471,13.99399506923332,-,-,-,-,-,-,49.0382295082049,6.034302056938282,38.739767715044096,4.281512714375691,50.913658660300605,8.92969375049403,51.69062109464417,9.058303709601823,-,-,52.366047870699106,7.097940541546782
2015 April,2071 Chaitra,56.23183731252443,8.476220958442331,47.86819368449886,2.9720874629535916,55.3832552789349,10.888771526233004,-,-,-,-,-,-,49.194581140437094,6.0343020569383,38.79396626022453,4.28151271437568,50.913658660300605,8.929440703077713,51.862009273587745,9.058303709601825,-,-,52.72245569570436,7.146471147818175
2015 July,2072 Asadh,56.48103136909714,10.230635731431676,47.95669512718705,2.9720874629536036,55.780532440806326,9.90115322677098,-,-,-,-,-,-,49.2212130800947,6.034302056938276,38.80189746656366,4.281512714375675,50.913658660300605,8.929440703077713,52.30574544830252,9.058303709601837,-,-,52.91408300532348,7.911052761557571
2015 October,2072 Asojh,58.31479762513221,13.229879330972574,49.66343424022253,3.9900552441887984,58.53632734739711,9.74953567405906,-,-,-,-,-,-,49.01152637017196,0,39.350682064953915,2.2736940775290972,50.92803963703868,0.028245812845675334,51.82081289171047,1.4882207298100307,-,-,54.4335367982696,8.21341192508024
