Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2013 January,2069 Poush,40.32222555958479,0,-,-,36.5505037230785,0,48.13260579380089,50.063891866661315,35.0160783086992,9.720176566171968,-,-,-,-,39.201815246624264,8.466159828969623,-,-,44.30020999726754,13.89857494672203,41.86614204409679,12.123214352697058
2013 April,2069 Chaitra,40.32222555958479,0,-,-,36.66156338750065,0,48.364921779030055,50.063891866661315,35.07806024142816,9.720176566171949,-,-,-,-,39.43353151487264,4.1724967163637725,-,-,44.92911910659561,10.362017169923366,42.24874597368085,9.172688786666397
2013 July,2070 Asadh,50.485924253889245,25.206194730708503,-,-,41.690260682031685,12.873921384123207,49.758071868167896,54.37258545831515,39.44357045935038,22.8296089680154,-,-,-,-,40.53713094665328,4.062343933099588,-,-,46.42574865364705,8.802990620818882,43.35714395760177,8.154817100349716
2013 October,2070 Asojh,50.485924253889245,25.206194730708503,-,-,45.75545277053841,26.408708565024497,52.45983425847749,9.231252803974359,44.90341322636248,29.605804480107984,-,-,-,-,41.95239326441448,6.384638677459972,-,-,46.927750518376556,8.278190725448832,45.98425816762055,11.539280185879196
2014 January,2070 Poush,50.485924253889245,25.206194730708503,-,-,46.20301973035473,26.408708565024508,52.575848315767054,9.231252803974343,45.38286998937418,29.605804480107956,-,-,-,-,46.67146201123782,19.05433898308263,-,-,50.23936939163158,13.40661679646749,48.89547605295417,16.79002092300151
2014 April,2070 Chaitra,50.485924253889245,25.206194730708503,-,-,46.34340881788742,26.408708565024508,52.83000998515777,9.232079866742758,45.463202171919875,29.605804480107974,-,-,-,-,47.28367911415865,19.907290312878192,-,-,50.65136353780675,12.736159855782969,49.205965563689915,16.467280695959865
2014 July,2071 Asadh,50.485924253889245,0,-,-,46.68936764073584,11.991066683012482,52.834764219007205,6.183303000548107,45.67740568903357,15.80443949948099,-,-,-,-,47.55355728853393,17.30864069071451,-,-,50.296255383925406,8.33698290824289,49.03490574060425,13.095331621830693
2014 October,2071 Asojh,54.301987802753395,7.558668292717599,-,-,50.002029759774985,9.281029324598688,56.07762294706439,6.896302170459611,48.1833846836326,7.304503648164709,-,-,-,-,49.45420266039603,17.881719759584843,-,-,50.66218524270798,7.957838769341917,50.302024333135115,9.389661457135093
2015 January,2071 Poush,54.301987802753395,7.558668292717599,-,-,50.49113554037908,9.281029324598695,56.201637684304856,6.896302170459623,48.697863383389866,7.304503648164716,-,-,-,-,49.65036743757012,6.382712899833775,-,-,53.782647690094656,7.052792145622128,52.366047870699106,7.097940541546782
2015 April,2071 Chaitra,54.301987802753395,7.558668292717599,-,-,50.644554180294215,9.281029324598702,56.47289951637885,6.895492793290262,48.78406343314026,7.304503648164713,-,-,-,-,49.99690620398578,5.738189457035458,-,-,54.34531433885231,7.292895083245593,52.72245569570436,7.146471147818175
2015 July,2072 Asadh,54.301987802753395,7.558668292717599,-,-,51.022621542942225,9.281029324598695,56.47798159460233,6.895492824560553,49.00067373217492,7.2755183728379125,-,-,-,-,50.07720747012974,5.306964032750316,-,-,54.63265211560074,8.621708909688017,52.91408300532348,7.911052761557571
2015 October,2072 Asojh,54.301987802753395,0,-,-,50.59331827275425,1.1825290209617467,58.60715656021509,4.510771819872788,49.31637101329826,2.3514046119938086,-,-,-,-,52.68652948686606,6.536000284276233,-,-,56.15629188523766,10.844590726217183,54.4335367982696,8.21341192508024
