Table 47,,,,,,,,,,,,,,,,,,,,,
Sectorwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,
"10.5 Hospitals, Clinic, etc./Health Service",65770.33121725,71200.3466485847,71800.3805945647,76573.7623155547,5430.015431334701,8.256025674248903,4773.381720990001,6.648128716676115,,,,,,,,,,,,,
10.6 Educational Services,62373.50844186652,65147.94798784721,67218.9599270786,69206.43362337949,2774.439545980691,4.44810563857656,1987.4736963008909,2.956715930233032,,,,,,,,,,,,,
"10.7 Entertainment, Recreation, Films",10993.202371840003,14314.879897499997,14625.814080410002,17844.147457770003,3321.677525659994,30.215740721454793,3218.3333773600007,22.004473458135067,,,,,,,,,,,,,
10.8 Other Service Companies,65204.78935224899,70605.80379804032,75614.46510127645,75721.62223680438,5401.014445791327,8.283156037226028,107.15713552793022,0.14171512736935477,,,,,,,,,,,,,
11. Consumable Loan,1013638.4033594083,1102534.174211384,1151768.8079976563,1293622.644403056,88895.77085197577,8.769968714420914,141853.83640539972,12.31617277880722,,,,,,,,,,,,,
11.1 Gold and Silver,60780.92175968499,77675.58312989496,84801.57538239502,120157.82919967495,16894.66137020997,27.795994007803827,35356.253817279925,41.69292098389478,,,,,,,,,,,,,
11.2 Fixed A/c Receipt,36369.92615184,26484.901271800012,27113.0830633,21386.358122010002,-9885.02488003999,-27.179117270602138,-5726.724941289998,-21.12162946545034,,,,,,,,,,,,,
11.3 Guarantee Bond,75569.34245248251,101599.98659696248,112416.58383444253,133015.90923703258,26030.64414447997,34.4460376386732,20599.325402590053,18.324098366951773,,,,,,,,,,,,,
11.4 Credit Card,5678.396400216799,6351.461470339265,6222.669667282199,7894.585636964607,673.0650701224668,11.85308355888591,1671.915969682408,26.86814597395511,,,,,,,,,,,,,
11.5 Others$,835239.8165951838,890422.2417423873,921214.8960502365,1011167.9622073737,55182.425147203496,6.606776167849862,89953.06615713716,9.764612637378777,,,,,,,,,,,,,
12. Local Government,1218.2151261500003,1230.83107019,1233.96681848,1229.1644328,12.615944039999704,1.0356088813205466,-4.802385680000043,-0.38918272420936084,,,,,,,,,,,,,
13. Others,330969.4307160437,331516.5167451204,329427.54821909074,321772.1891952399,547.0860290767159,0.1652980542321113,-7655.359023850819,-2.3238369302252484,,,,,,,,,,,,,
Total (1 to 13),5167173.058819973,5526700.30638619,5592070.271558353,5888163.842088987,359527.2475662165,6.957909933992451,296093.57053063536,5.294882863625432,,,,,,,,,,,,,
"R= Revised, P = Provisional",,,,,,,,,,,,,,,,,,,,,
"* Processing of Tea, Coffee, Ginger and Fruits and Primary processing of domestic agro-products included in Agriculture  from October 2017. Prior to this, most of these were under Productions.",,,,,,,,,,,,,,,,,,,,,
"$ includes Hire-purchase (personal consumption) loan, Education loan,  Residential Personal Home Loan(Up to Rs.15 million till Mid-July 2023, up to Rs.20 million after Mid-July 2023), Personal Loan(<5M without specific purpose)",,,,,,,,,,,,,,,,,,,,,
